20120808_K127_S156_1155	12-08-08.7TWIN
20120808_K127_S157_1156	12-08-08.8TWIN
20120804_K127_S108_1107	12-08-04.15TWIN
20120804_K127_S109_1108	12-08-04.16TWIN
20120810_K127_S188_1187	12-08-10.10TWIN
20120810_K127_S189_1188	12-08-10.12TWIN
20120810_K127_S187_1185	12-08-10.9TWIN
20120810_K127_S186_1186	12-08-10.10TWIN
20120822_K127_S216_1215	12-08-22.3TWIN
20120822_K127_S217_1216	12-08-22.4TWIN
20120802_K127_S76_1075	12-08-02.7TWIN
20120802_K127_S77_1076	12-08-02.8TWIN
20120814_K127_S200_1199	12-08-14.3TWIN
20120814_K127_S201_1200	12-08-14.4TWIN
20120813_K127_S196_1195	12-08-13.7TWIN
20120813_K127_S197_1196	12-08-13.8TWIN
20120801_K127_S65_1065	12-08-01.4TWIN
20120801_K127_S65_1066	12-08-01.5TWIN
20120712_K127_S01_1001	12-07-12.1TWIN
20120712_K127_S02_1002	12-07-12.2TWIN
20120806_K127_S132_1131	12-08-06.7TWIN
20120806_K127_S133_1132	12-08-06.8TWIN
20120801_K127_S66_1067	12-08-01.6TWIN
20120801_K127_S66_1068	12-08-01.7TWIN
20120806_K127_S126_1125	12-08-06.1TWIN
20120807_K127_S142_1145	12-08-07.5TWIN
20120806_K127_S127_1126	12-08-06.2TWIN
20120807_K127_S143_1146	12-08-07.6TWIN
20120810_K127_s178_1177	12-08-10.1TWIN
20120810_K127_S179_1178	12-08-10.2TWIN
20120804_K127_S102_1101	12-08-04.9TWIN
20120804_K127_S103_1102	12-08-04.10TWIN
20120803_K127_S84_1083	12-08-03.7TWIN
20120803_K127_S85_1084	12-08-03.8TWIN
20120803_K127_S82_1081	12-08-03.5TWIN
20120803_K127_S83_1082	12-08-03.6TWIN
20120806_K127_S135_1139	12-08-06.13TWIN
20120806_K127_S136_1140	12-08-06.14TWIN
20120720_K127_S38_1037	12-07-20.5TWIN
20120720_K127_S39_1038	12-07-20.6TWIN
20120716_K127_S18_1017	12-07-16.1TWIN
20120716_K127_S19_1018	12-07-16.2TWIN
20120804_K127_S98_1097	12-08-04.5TWIN
20120804_K127_S99_1098	12-08-04.6TWIN
20120822_K127_S214_1213	12-08-22.1TWIN
20120822_K127_S215_1214	12-08-22.2TWIN
20120807_K127_S140_1143	12-08-07.3TWIN
20120807_K127_S141_1144	12-08-07.4TWIN
20120810_K127_S180_1179	12-08-10.3TWIN
20120810_K127_S181_1180	12-08-10.4TWIN
20120821_K127_S206_1205	12-08-21.1TWIN
20120821_K127_S207_1206	12-08-21.2TWIN
20120804_K127_S100_1099	12-08-04.7TWIN
20120804_K127_S101_1100	12-08-04.8TWIN
20120807_K127_S144_1147	12-08-07.7TWIN
20120807_K127_S145_1148	12-08-07.8TWIN
20120821_K127_S208_1207	12-08-21.3TWIN
20120821_K127_S209_1208	12-08-21.4TWIN
20120712_K127_S03_1003	12-07-12.3TWIN
20120712_K127_S04_1004	12-07-12.4TWIN
20120809_K127_S172_1171	12-08-09.7TWIN
20120809_K127_S173_1172	12-08-09.8TWIN
20120808_K127_S154_1153	12-08-08.5TWIN
20120808_K127_S155_1154	12-08-08.6TWIN
20120805_K127_S122_1121	12-08-05.12TWIN
20120805_K127_S123_1122	12-08-05.13TWIN
20120805_K127_S114_1113	12-08-05.5TWIN
20120805_K127_S115_1114	12-08-05.6TWIN
20120723_K127_S44_1043	12-07-23.3TWIN
20120723_K127_S45_1044	12-07-23.4TWIN
20120804_K127_S104_1103	12-08-04.11TWIN
20120804_K127_S105_1104	12-08-04.12TWIN
20120802_K127_S72_1071	12-08-02.3TWIN
20120802_K127_S73_1072	12-08-02.4TWIN
20120814_K127_S198_1197	12-08-14.1TWIN
20120814_K127_S199_1198	12-08-14.2TWIN
20120821_K127_S210_1209	12-08-21.5TWIN
20120821_K127_S211_1210	12-08-21.6TWIN
20120803_K127_S90_1089	12-08-03.13TWIN
20120803_K127_S91_1090	12-08-03.14TWIN
20120804_K127_S106_1105	12-08-04.13TWIN
20120804_K127_S107_1106	12-08-04.14TWIN
20120815_K127_S204_1203	12-08-15.3TWIN
20120815_K127_S205_1204	12-08-15.4TWIN
20120724_K127_S48_1047	12-07-24.3TWIN
20120724_K127_S49_1048	12-07-24.4TWIN
20120809_K127_S174_1173	12-08-09.9TWIN
20120809_K127_S175_1174	12-08-09.10TWIN
